Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export,Coffee_Bean_Type
Angola,4538140,4163583,4591352,2246785,446898,2266069,3046466,2809167,2918221,2931834,1236913,786397,517419,997576,337848,274968,271950,220666,338714,399689,221423,444003,467113,335235,515818,609563,644559,507980,501860,1291401,43320000,Arabica
Bolivia,9010743,4097275,5432805,2590662,4610038,5248713,7150553,6393743,5591244,6891108,5907168,3982945,4562336,4048889,5383179,4746560,5105980,4756141,3927802,4507644,4394934,4235945,3623490,3198165,3490215,1715137,1266436,1463105,1191366,1129327,137460000,Arabica
Brazil,955159160,1157618168,1039026419,979428265,984767471,838045625,838843011,983335201,1058581339,1313894136,1020334107,1315835848,1566101429,1438856157,1468921200,1538065093,1521311768,1571100190,1727892324,1656666790,1922456423,1912810248,1628148379,1794453825,1974772160, 2019473158,1924702521,1787235100,2091418133,1955377697,33807709056,Arabica
Burundi,32803117,39542587,35099103,23596713,29329835,29669153,12729400,31027257,20993656,23983562,24824964,17107248,16407277,27556286,18571026,20899606,15747874,20257474,14725262,15614798,16614662,11784472,22755007,11408068,13627368,13256593,11905132,9209132,11785444,17210514,646200000,Robusta
Cameroon,142735545,98289728,90767219,41299287,29611964,23054972,32027845,79162837,42001489,64419350,66242121,64131667,36206953,45220241,40952051,40725751,41034186,41415589,30919677,34815110,45073599,26467538,34566315,15630377,21990701,22171213,15465610,13906776,16713886,14352693,1399920000,Robusta
Central African Republic,11235756,7627802,5430383,7478728,7460245,13017418,5425393,11910767,5756596,11154382,11095299,5462632,5536020,2193716,3543570,2674871,953954,7132820,1835341,3495419,5440437,4218481,4426173,56108,4234388,2405565,4342002,1011138,2260953,1027734,170700000,Arabica
Colombia,814527666,695285268,908393215,780932712,691707150,533250662,588769306,615590233,613264813,573332364,517302186,545190875,588350614,594107045,560192133,602665671,629361576,656295687,650184086,430852304,440543951,421052150,414757404,563619273,632595872,691893458,718197435,730072184,747134659,744573031,19878480000,Arabica
Congo,111788,54526,0,57590,56290,1090923,719282,164713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,Arabica
Costa Rica,124214570,129919954,141381445,131429064,122041837,111813221,133659594,119487161,114538271,126958259,107462594,109983760,100611524,94104535,78246077,79964859,74330957,77284450,83506080,72050774,70272589,67370232,76418869,77265646,68866318,63006797,54380873,55270808,65531224,59944100,2991840000,Arabica
Ivory Coast,238088883,219882203,265833924,222045458,136437134,143160652,152175235,270739294,256015177,131994740,350697579,238894482,179580762,152362580,146576179,99327685,97777658,122045717,82553185,97911888,106353742,42852591,98115529,114573850,83808607,77874616,82687425,47716419,83472088,121821408,4721640000,Arabica
